query,case,median,min,median_cap,min_cap,max_cap,p10_cap,p90_cap,n_fail,label,benchmark,sf,threads
12a,4,0.27,0.26,0.27,0.26,0.27,0.26,0.27,0,job_t1,job,0,1
12b,1,0.55,0.34,0.55,0.34,23.37,0.389,2.7220000000000004,0,job_t1,job,0,1
12b,2,0.32,0.18,0.32,0.18,0.54,0.189,0.521,0,job_t1,job,0,1
12b,3,0.32,0.18,0.32,0.18,0.54,0.189,0.522,0,job_t1,job,0,1
12b,4,0.305,0.18,0.305,0.18,0.35,0.18,0.34,0,job_t1,job,0,1
12c,1,0.775,0.55,0.775,0.55,1.63,0.569,1.493,0,job_t1,job,0,1
12c,2,0.45,0.38,0.45,0.38,0.57,0.38,0.502,0,job_t1,job,0,1
12c,3,0.45,0.37,0.45,0.37,0.59,0.38,0.502,0,job_t1,job,0,1
12c,4,0.33,0.32,0.33,0.32,0.58,0.32,0.5140000000000001,0,job_t1,job,0,1
13a,1,3.92,1.17,3.92,1.17,10.26,2.169,9.508000000000001,0,job_t1,job,0,1
13a,2,0.555,0.38,0.555,0.38,0.63,0.399,0.611,0,job_t1,job,0,1
13a,3,0.555,0.38,0.555,0.38,0.63,0.399,0.62,0,job_t1,job,0,1
13a,4,0.515,0.34,0.515,0.34,0.54,0.368,0.53,0,job_t1,job,0,1
13b,1,1.26,0.65,1.26,0.65,18.82,0.704,4.597000000000001,0,job_t1,job,0,1
13b,2,0.305,0.26,0.305,0.26,0.37,0.269,0.37,0,job_t1,job,0,1
13b,3,0.3,0.26,0.3,0.26,0.38,0.27,0.37,0,job_t1,job,0,1
13b,4,0.26,0.25,0.26,0.25,0.27,0.259,0.27,0,job_t1,job,0,1
13c,1,1.12,0.51,1.12,0.51,18.69,0.573,4.598000000000001,0,job_t1,job,0,1
13c,2,0.24,0.2,0.24,0.2,0.32,0.209,0.32,0,job_t1,job,0,1
13c,3,0.24,0.2,0.24,0.2,0.32,0.209,0.32,0,job_t1,job,0,1
13c,4,0.2,0.19,0.2,0.19,0.21,0.2,0.21,0,job_t1,job,0,1
13d,1,3.02,1.21,3.02,1.21,23.75,1.84,7.456000000000002,0,job_t1,job,0,1
13d,2,1.17,0.94,1.17,0.94,1.57,0.959,1.3510000000000002,0,job_t1,job,0,1
13d,3,1.26,0.96,1.26,0.96,1.55,1.0250000000000001,1.442,0,job_t1,job,0,1
13d,4,1.19,0.88,1.19,0.88,1.68,0.998,1.3980000000000001,0,job_t1,job,0,1
14a,1,2.035,0.52,2.035,0.52,3.15,0.671,2.4840000000000004,0,job_t1,job,0,1
14a,2,0.24,0.22,0.24,0.22,0.29,0.23,0.26200000000000007,0,job_t1,job,0,1
14a,3,0.24,0.22,0.24,0.22,0.29,0.23,0.26200000000000007,0,job_t1,job,0,1
14a,4,0.23,0.21,0.23,0.21,0.25,0.22,0.24,0,job_t1,job,0,1
14b,1,1.8250000000000002,0.41,1.8250000000000002,0.41,2.51,0.522,2.306,0,job_t1,job,0,1
14b,2,0.24,0.23,0.24,0.23,0.28,0.23,0.271,0,job_t1,job,0,1
14b,3,0.24,0.23,0.24,0.23,0.29,0.23,0.271,0,job_t1,job,0,1
14b,4,0.24,0.23,0.24,0.23,0.25,0.23,0.24,0,job_t1,job,0,1
14c,1,2.255,0.79,2.255,0.79,2.99,0.864,2.623,0,job_t1,job,0,1
14c,2,0.4,0.31,0.4,0.31,0.47,0.36,0.452,0,job_t1,job,0,1
14c,3,0.41,0.31,0.41,0.31,0.48,0.35,0.46,0,job_t1,job,0,1
14c,4,0.32,0.31,0.32,0.31,0.33,0.319,0.33,0,job_t1,job,0,1
15a,1,1.49,0.88,1.49,0.88,1.69,0.899,1.65,0,job_t1,job,0,1
15a,2,0.9,0.89,0.9,0.89,1.03,0.89,1.0110000000000001,0,job_t1,job,0,1
15a,3,0.905,0.88,0.905,0.88,1.04,0.889,1.01,0,job_t1,job,0,1
15a,4,0.83,0.81,0.83,0.81,0.88,0.81,0.852,0,job_t1,job,0,1
15b,1,1.38,0.59,1.38,0.59,1.57,0.774,1.56,0,job_t1,job,0,1
15b,2,0.71,0.6,0.71,0.6,0.83,0.62,0.792,0,job_t1,job,0,1
15b,3,0.69,0.61,0.69,0.61,0.83,0.629,0.8,0,job_t1,job,0,1
15b,4,0.665,0.61,0.665,0.61,0.73,0.61,0.72,0,job_t1,job,0,1
15c,1,1.51,0.77,1.51,0.77,1.85,0.79,1.776,0,job_t1,job,0,1
15c,2,0.86,0.79,0.86,0.79,1.15,0.8,1.102,0,job_t1,job,0,1
15c,3,0.855,0.79,0.855,0.79,1.16,0.809,1.1130000000000002,0,job_t1,job,0,1
15c,4,0.71,0.69,0.71,0.69,0.79,0.699,0.753,0,job_t1,job,0,1
15d,1,0.92,0.6,0.92,0.6,1.24,0.628,1.1120000000000003,0,job_t1,job,0,1
15d,2,0.73,0.63,0.73,0.63,0.97,0.639,0.931,0,job_t1,job,0,1
