query,seed,case,latency,SCAN,JOIN,CREATE_BF,USE_BF,OTHER,label
job_q10a,0,1,1.31988734,0.7505302729999994,0.543452176,0.0,0.0,0.011052787999999996,job_t1
job_q10a,0,2,1.12979448,0.7410828710000003,0.34482438200000026,0.001719335,0.018398751999999987,0.009683241999999986,job_t1
job_q10a,0,3,1.150790708,0.7642397819999994,0.34132419400000014,0.0016826649999999999,0.018497955000000003,0.010504975000000036,job_t1
job_q10a,0,4,0.742572933,0.6755127740000003,0.001681887,0.0019041459999999996,0.039344872999999995,0.010085467999999986,job_t1
job_q10a,1,1,1.145234945,0.7237933850000007,0.3939716820000001,0.0,0.0,0.013019351999999968,job_t1
job_q10a,1,2,0.931787905,0.7400289049999995,0.14432334899999996,0.0017443480000000002,0.01876226200000002,0.012367468999999975,job_t1
job_q10a,1,3,0.925928115,0.734935879999999,0.14455199500000013,0.001731345,0.018428683000000022,0.012242785999999995,job_t1
job_q10a,1,4,0.820569156,0.7491212739999998,0.0014986069999999999,0.0018870359999999997,0.04288741999999998,0.011336417999999984,job_t1
job_q10a,2,1,1.03816902,0.7249023750000009,0.286833145,0.0,0.0,0.011952893999999967,job_t1
job_q10a,2,2,0.939213853,0.7506993309999994,0.14314079799999999,0.001714457,0.018008242999999983,0.011883578999999977,job_t1
job_q10a,2,3,0.923940942,0.7357008499999999,0.14284214200000003,0.0017106270000000002,0.018194409000000012,0.012213391999999991,job_t1
job_q10a,2,4,0.813392876,0.7412564419999994,0.0018392320000000003,0.0018961460000000002,0.04305706300000002,0.011626627999999993,job_t1
job_q10a,3,1,2.186376645,1.7803032230000047,0.3728055210000001,0.0,0.0,0.01654317600000005,job_t1
job_q10a,3,2,0.808794565,0.7171476820000012,0.03644113699999994,0.0009612770000000002,0.028402872000000023,0.01152657099999999,job_t1
job_q10a,3,3,0.840286812,0.7458073170000007,0.03735998999999996,0.0009440539999999998,0.028886492000000007,0.012521272000000036,job_t1
job_q10a,3,4,0.81321281,0.7400519790000002,0.001544302,0.0011377940000000001,0.044243539,0.011845106999999983,job_t1
job_q10a,4,1,1.33450745,0.8124339010000012,0.49697187099999984,0.0,0.0,0.011784629000000012,job_t1
job_q10a,4,2,1.265339168,0.7893290109999989,0.43028669599999997,0.0017658099999999998,0.018130692,0.011940743999999972,job_t1
job_q10a,4,3,1.256362055,0.7804804309999996,0.4303706120000002,0.0018190249999999997,0.018101746999999998,0.011640455000000008,job_t1
job_q10a,4,4,0.784353837,0.7130086990000005,0.001809751,0.001876881,0.04269806899999998,0.01143349499999997,job_t1
job_q10a,5,1,0.92481612,0.6482631139999994,0.25293833899999996,0.0,0.0,0.010800589000000015,job_t1
job_q10a,5,2,0.771127577,0.6721548559999985,0.056026697,0.0017316120000000002,0.018398091000000016,0.009801942999999994,job_t1
job_q10a,5,3,0.772295087,0.6736640420000016,0.05565267699999996,0.0017312259999999998,0.018391610999999992,0.00979692799999998,job_t1
job_q10a,5,4,0.754770178,0.6897264919999998,0.001440779,0.001819636,0.03857205700000001,0.009760587999999975,job_t1
job_q10a,6,1,0.872995808,0.6539601990000004,0.19608667300000013,0.0,0.0,0.00959644499999999,job_t1
job_q10a,6,2,0.80553193,0.7014209090000009,0.060122428000000006,0.0017269350000000002,0.018598874999999994,0.009965644999999985,job_t1
job_q10a,6,3,0.795921979,0.6937325189999994,0.05882765800000001,0.0016972560000000003,0.01852379400000001,0.010029470999999972,job_t1
job_q10a,6,4,0.757495696,0.6917435519999993,0.0015934170000000002,0.0018714459999999997,0.03918825200000001,0.009717105999999979,job_t1
job_q10a,7,1,2.078401782,1.7972972869999992,0.2500009330000002,0.0,0.0,0.015529206999999977,job_t1
job_q10a,7,2,0.927328902,0.7425553889999994,0.13907000699999988,0.0017665480000000002,0.01809418199999999,0.012074865000000014,job_t1
job_q10a,7,3,0.921346805,0.7327448860000001,0.14245771699999996,0.0018286610000000005,0.01819243800000002,0.012256403999999978,job_t1
job_q10a,7,4,0.782742479,0.7120151910000003,0.001779456,0.0018473079999999998,0.042035237000000024,0.01124701199999998,job_t1
job_q10a,8,1,1.337050362,0.7832617480000001,0.5273684649999996,0.0,0.0,0.011904999999999994,job_t1
job_q10a,8,2,1.295107069,0.8263249189999993,0.42282637699999975,0.0017478,0.018093272000000007,0.011890393999999985,job_t1
job_q10a,8,3,1.281211814,0.8082441669999996,0.4269416160000001,0.001828953,0.018255773999999975,0.012078979999999991,job_t1
job_q10a,8,4,0.788916417,0.7177668769999992,0.0019849940000000003,0.0018566709999999998,0.04280116900000002,0.011190097999999985,job_t1
job_q10a,9,1,0.950591922,0.6685114800000005,0.25726005599999996,0.0,0.0,0.011334451999999976,job_t1
