label,benchmark,sf,threads,query,med_c1,med_c2,med_c3,med_c4,best_c1,best_c2,best_c3,best_c4,insurance,insurance_fwd,residual_qo,residual_qo_c1,pt_replaces_qo,backward_extra
appian_t1,appian,0,1,q01,2.72,2.72,2.77,2.71,2.68,2.69,2.74,2.67,1.0036900369003692,1.0,1.0149812734082397,1.0149253731343284,1.0111940298507462,1.0036900369003692
appian_t1,appian,0,1,q02,13.59,13.825,14.59,13.785,13.33,13.61,14.35,13.6,0.985854189336235,0.983001808318264,1.0136029411764707,1.0195048762190548,1.034133533383346,1.0029017047515414
appian_t1,appian,0,1,q03,6.495,6.095,6.805,6.07,6.27,5.98,6.66,5.97,1.07001647446458,1.0656275635767023,1.016750418760469,1.035885167464115,0.9681020733652314,1.004118616144975
appian_t1,appian,0,1,q04,25.795,25.854999999999997,28.615000000000002,25.855,25.35,25.47,28.16,25.54,0.9976793656932895,0.9976793656932896,1.0123335943617855,1.0175542406311637,1.019921104536489,0.9999999999999999
appian_t1,appian,0,1,q05,4.845,4.84,5.05,4.82,4.8,4.77,4.99,4.77,1.0051867219917012,1.0010330578512396,1.0104821802935011,1.009375,1.0041666666666669,1.004149377593361
appian_t1,appian,0,1,q06,7.74,7.77,9.6,7.745,7.65,7.67,9.4,7.6,0.9993544222078761,0.9961389961389963,1.0190789473684212,1.011764705882353,1.0124183006535947,1.0032278889606197
appian_t1,appian,0,1,q07,7.74,7.99,8.42,7.945,7.63,7.91,8.25,7.85,0.9741976085588421,0.9687108886107635,1.0121019108280256,1.0144167758846658,1.0412844036697249,1.0056639395846445
appian_t1,appian,0,1,q08,29.689999999999998,29.655,30.53,29.634999999999998,29.15,29.31,29.77,29.13,1.001855913615657,1.0011802394199965,1.0173360796429798,1.01852487135506,1.0166380789022298,1.000674877678421
job_t1,job,0,1,10a,1.395,0.99,0.98,0.84,0.93,0.82,0.82,0.8,1.6607142857142858,1.4090909090909092,1.0499999999999998,1.5,0.9032258064516128,1.1785714285714286
job_t1,job,0,1,10b,1.205,0.72,0.72,0.68,0.47,0.63,0.63,0.63,1.7720588235294117,1.6736111111111114,1.0793650793650795,2.563829787234043,1.446808510638298,1.0588235294117645
