query,case,seed,run_idx,runtime_seconds
Q01,1,0,1,0.37
Q02,1,0,1,0.27
Q03,1,0,1,0.29
Q04,1,0,1,0.97
Q05,1,0,1,0.50
Q06,1,0,1,0.35
Q07,1,0,1,0.46
Q08,1,0,1,0.86
Q09,1,0,1,0.28
Q10,1,0,1,0.29
Q11,1,0,1,0.78
Q12,1,0,1,0.24
Q13,1,0,1,0.51
Q14,1,0,1,1.07
Q15,1,0,1,0.19
Q16,1,0,1,0.20
Q17,1,0,1,0.53
Q18,1,0,1,0.44
Q19,1,0,1,0.38
Q20,1,0,1,0.20
Q21,1,0,1,0.17
Q22,1,0,1,2.67
Q23,1,0,1,0.89
Q24,1,0,1,0.54
Q25,1,0,1,0.58
Q26,1,0,1,0.21
Q27,1,0,1,0.51
Q28,1,0,1,0.44
Q29,1,0,1,0.53
Q30,1,0,1,0.26
Q31,1,0,1,0.40
Q32,1,0,1,0.16
Q33,1,0,1,0.40
Q34,1,0,1,0.30
Q35,1,0,1,0.42
Q36,1,0,1,0.43
Q37,1,0,1,0.32
Q38,1,0,1,0.34
Q39,1,0,1,0.32
Q40,1,0,1,0.19
Q41,1,0,1,0.15
Q42,1,0,1,0.28
Q43,1,0,1,0.30
Q44,1,0,1,92.26
Q45,1,0,1,0.29
Q46,1,0,1,0.47
Q47,1,0,1,0.69
Q48,1,0,1,0.41
Q49,1,0,1,0.45
Q50,1,0,1,0.45
Q51,1,0,1,0.93
Q52,1,0,1,0.29
Q53,1,0,1,0.34
Q54,1,0,1,9999999
Q55,1,0,1,0.29
Q56,1,0,1,0.42
Q57,1,0,1,0.38
Q58,1,0,1,0.43
Q59,1,0,1,0.44
Q60,1,0,1,0.43
Q61,1,0,1,0.41
Q62,1,0,1,0.21
Q63,1,0,1,0.32
Q64,1,0,1,0.97
Q65,1,0,1,1.81
Q66,1,0,1,0.28
Q67,1,0,1,1.97
Q68,1,0,1,0.48
Q69,1,0,1,0.29
Q70,1,0,1,0.36
Q71,1,0,1,0.37
Q72,1,0,1,5.28
Q73,1,0,1,0.30
Q74,1,0,1,0.54
Q75,1,0,1,0.60
Q76,1,0,1,0.50
Q77,1,0,1,0.44
Q78,1,0,1,0.81
Q79,1,0,1,0.41
Q80,1,0,1,0.59
Q81,1,0,1,0.28
Q82,1,0,1,0.22
Q83,1,0,1,0.19
Q84,1,0,1,0.18
Q85,1,0,1,0.29
Q86,1,0,1,0.24
Q87,1,0,1,0.37
Q88,1,0,1,0.32
Q89,1,0,1,0.36
Q90,1,0,1,0.16
Q91,1,0,1,0.19
Q92,1,0,1,0.20
Q93,1,0,1,0.37
Q94,1,0,1,0.25
Q95,1,0,1,0.56
Q96,1,0,1,0.22
Q97,1,0,1,0.38
Q98,1,0,1,0.34
Q99,1,0,1,0.20
Q01,1,1,1,0.37
Q02,1,1,1,0.27
Q03,1,1,1,0.29
Q04,1,1,1,1.42
Q05,1,1,1,0.52
Q06,1,1,1,0.34
Q07,1,1,1,0.46
Q08,1,1,1,0.87
Q09,1,1,1,0.28
Q10,1,1,1,0.31
Q11,1,1,1,1.03
Q12,1,1,1,0.24
Q13,1,1,1,0.51
Q14,1,1,1,1.11
Q15,1,1,1,0.18
Q16,1,1,1,0.18
Q17,1,1,1,0.38
Q18,1,1,1,0.32
Q19,1,1,1,0.38
Q20,1,1,1,0.20
Q21,1,1,1,0.18
Q22,1,1,1,2.66
Q23,1,1,1,0.89
Q24,1,1,1,0.52
Q25,1,1,1,0.41
Q26,1,1,1,0.21
Q27,1,1,1,0.55
Q28,1,1,1,0.46
Q29,1,1,1,0.44
Q30,1,1,1,0.27
Q31,1,1,1,0.41
Q32,1,1,1,0.16
Q33,1,1,1,0.39
Q34,1,1,1,0.30
Q35,1,1,1,0.43
Q36,1,1,1,0.43
Q37,1,1,1,0.91
Q38,1,1,1,0.34
Q39,1,1,1,0.33
Q40,1,1,1,0.19
Q41,1,1,1,0.16
Q42,1,1,1,0.28
Q43,1,1,1,0.31
Q44,1,1,1,92.55
Q45,1,1,1,0.30
Q46,1,1,1,0.46
Q47,1,1,1,0.68
Q48,1,1,1,0.42
Q49,1,1,1,0.45
Q50,1,1,1,0.44
Q51,1,1,1,0.97
Q52,1,1,1,0.29
Q53,1,1,1,0.34
Q54,1,1,1,9999999
Q55,1,1,1,0.29
Q56,1,1,1,0.42
Q57,1,1,1,0.37
Q58,1,1,1,0.46
Q59,1,1,1,0.45
Q60,1,1,1,0.44
Q61,1,1,1,0.46
Q62,1,1,1,0.22
Q63,1,1,1,0.34
Q64,1,1,1,0.77
Q65,1,1,1,1.82
Q66,1,1,1,0.31
Q67,1,1,1,1.83
Q68,1,1,1,0.49
Q69,1,1,1,0.33
Q70,1,1,1,0.38
Q71,1,1,1,0.40
Q72,1,1,1,4.58
Q73,1,1,1,0.31
Q74,1,1,1,0.79
Q75,1,1,1,0.60
Q76,1,1,1,0.51
Q77,1,1,1,0.45
Q78,1,1,1,0.83
Q79,1,1,1,0.42
Q80,1,1,1,0.60
Q81,1,1,1,0.30
Q82,1,1,1,0.24
Q83,1,1,1,0.21
Q84,1,1,1,0.22
Q85,1,1,1,0.31
Q86,1,1,1,0.25
Q87,1,1,1,0.37
Q88,1,1,1,0.35
Q89,1,1,1,0.37
Q90,1,1,1,0.18
Q91,1,1,1,0.20
Q92,1,1,1,0.21
Q93,1,1,1,0.38
Q94,1,1,1,0.27
Q95,1,1,1,0.55
Q96,1,1,1,0.23
Q97,1,1,1,0.40
Q98,1,1,1,0.35
Q99,1,1,1,0.21
Q01,1,2,1,0.38
Q02,1,2,1,0.29
Q03,1,2,1,0.30
Q04,1,2,1,1.00
Q05,1,2,1,0.53
Q06,1,2,1,0.36
Q07,1,2,1,0.52
Q08,1,2,1,0.88
Q09,1,2,1,0.29
Q10,1,2,1,0.31
Q11,1,2,1,0.80
Q12,1,2,1,0.25
Q13,1,2,1,0.52
Q14,1,2,1,1.08
Q15,1,2,1,0.21
Q16,1,2,1,0.20
Q17,1,2,1,0.57
Q18,1,2,1,0.45
Q19,1,2,1,0.38
Q20,1,2,1,0.21
Q21,1,2,1,0.19
Q22,1,2,1,2.70
Q23,1,2,1,0.89
Q24,1,2,1,0.49
Q25,1,2,1,0.62
Q26,1,2,1,0.25
Q27,1,2,1,0.54
Q28,1,2,1,0.47
Q29,1,2,1,0.56
Q30,1,2,1,0.26
Q31,1,2,1,0.41
Q32,1,2,1,0.16
Q33,1,2,1,0.40
Q34,1,2,1,0.32
Q35,1,2,1,0.43
Q36,1,2,1,0.65
Q37,1,2,1,0.21
Q38,1,2,1,0.36
Q39,1,2,1,0.43
Q40,1,2,1,0.20
Q41,1,2,1,0.17
Q42,1,2,1,0.29
Q43,1,2,1,0.31
Q44,1,2,1,92.13
Q45,1,2,1,0.25
Q46,1,2,1,0.52
Q47,1,2,1,0.69
Q48,1,2,1,0.46
Q49,1,2,1,0.47
Q50,1,2,1,0.40
Q51,1,2,1,0.95
Q52,1,2,1,0.31
Q53,1,2,1,0.35
