query,case,seed,run_idx,runtime_seconds
23a,1,3,1,1.53
23b,1,3,1,1.48
23c,1,3,1,1.52
24a,1,3,1,5.29
24b,1,3,1,3.84
25a,1,3,1,3.93
25b,1,3,1,3.12
25c,1,3,1,3.34
26a,1,3,1,40.65
26b,1,3,1,37.62
26c,1,3,1,73.61
27a,1,3,1,0.24
27b,1,3,1,0.24
27c,1,3,1,0.39
28a,1,3,1,5.87
28b,1,3,1,2.03
28c,1,3,1,5.47
29a,1,3,1,4.67
29b,1,3,1,1.74
29c,1,3,1,9.34
30a,1,3,1,4.34
30b,1,3,1,4.18
30c,1,3,1,5.49
31a,1,3,1,4.17
31b,1,3,1,4.02
31c,1,3,1,8.59
32a,1,3,1,0.04
32b,1,3,1,0.29
33a,1,3,1,0.52
33b,1,3,1,0.43
33c,1,3,1,0.77
1a,1,4,1,0.64
1b,1,4,1,1.05
1c,1,4,1,0.42
1d,1,4,1,1.10
2a,1,4,1,0.91
2b,1,4,1,0.90
2c,1,4,1,0.89
2d,1,4,1,0.91
3a,1,4,1,1.91
3b,1,4,1,0.88
3c,1,4,1,2.12
4a,1,4,1,0.84
4b,1,4,1,0.42
4c,1,4,1,1.20
5a,1,4,1,1.83
5b,1,4,1,1.18
5c,1,4,1,2.14
6a,1,4,1,0.81
6b,1,4,1,0.72
6c,1,4,1,0.73
6d,1,4,1,0.94
6e,1,4,1,0.94
6f,1,4,1,23.23
7a,1,4,1,2.69
7b,1,4,1,2.51
7c,1,4,1,4.30
8a,1,4,1,1.49
8b,1,4,1,1.25
8c,1,4,1,2.54
8d,1,4,1,1.30
9a,1,4,1,1.43
9b,1,4,1,1.17
9c,1,4,1,1.30
9d,1,4,1,1.61
10a,1,4,1,1.42
10b,1,4,1,1.20
10c,1,4,1,2.28
11a,1,4,1,0.10
11b,1,4,1,0.10
11c,1,4,1,0.25
11d,1,4,1,0.26
12a,1,4,1,0.43
12b,1,4,1,0.33
12c,1,4,1,0.57
13a,1,4,1,2.15
13b,1,4,1,0.76
13c,1,4,1,0.65
13d,1,4,1,1.72
14a,1,4,1,0.67
14b,1,4,1,0.54
14c,1,4,1,1.06
15a,1,4,1,1.62
15b,1,4,1,1.35
15c,1,4,1,1.68
15d,1,4,1,1.06
16a,1,4,1,3.21
16b,1,4,1,9999999
