query,case,seed,run_idx,runtime_seconds
1a,1,0,1,0.20
1b,1,0,1,0.15
1c,1,0,1,0.13
1d,1,0,1,0.15
2a,1,0,1,0.55
2b,1,0,1,0.51
2c,1,0,1,0.31
2d,1,0,1,0.55
3a,1,0,1,2.20
3b,1,0,1,0.88
3c,1,0,1,2.15
4a,1,0,1,0.40
4b,1,0,1,0.24
4c,1,0,1,0.47
5a,1,0,1,1.74
5b,1,0,1,1.11
5c,1,0,1,2.11
6a,1,0,1,11.97
6b,1,0,1,0.73
6c,1,0,1,11.88
6d,1,0,1,0.94
6e,1,0,1,11.72
6f,1,0,1,12.73
7a,1,0,1,3.18
7b,1,0,1,4.11
7c,1,0,1,4.65
8a,1,0,1,1.54
8b,1,0,1,1.37
8c,1,0,1,18.17
8d,1,0,1,17.44
9a,1,0,1,3.29
9b,1,0,1,2.44
9c,1,0,1,3.51
9d,1,0,1,3.65
10a,1,0,1,1.39
10b,1,0,1,1.32
10c,1,0,1,2.00
11a,1,0,1,0.12
11b,1,0,1,0.13
11c,1,0,1,0.13
11d,1,0,1,0.16
12a,1,0,1,0.43
12b,1,0,1,0.37
12c,1,0,1,0.54
13a,1,0,1,1.17
13b,1,0,1,1.19
13c,1,0,1,1.15
13d,1,0,1,1.21
14a,1,0,1,0.81
14b,1,0,1,0.73
14c,1,0,1,0.91
15a,1,0,1,0.91
15b,1,0,1,0.62
15c,1,0,1,0.79
15d,1,0,1,0.63
16a,1,0,1,17.17
16b,1,0,1,17.80
16c,1,0,1,17.46
16d,1,0,1,16.97
17a,1,0,1,11.12
17b,1,0,1,123.60
17c,1,0,1,123.37
17d,1,0,1,123.26
17e,1,0,1,12.20
17f,1,0,1,124.85
18a,1,0,1,1.79
18b,1,0,1,3.50
18c,1,0,1,4.33
19a,1,0,1,3.30
19b,1,0,1,3.24
19c,1,0,1,3.44
19d,1,0,1,4.65
20a,1,0,1,1.39
20b,1,0,1,1.38
20c,1,0,1,2.65
21a,1,0,1,0.35
21b,1,0,1,0.31
21c,1,0,1,0.36
22a,1,0,1,1.53
22b,1,0,1,1.51
22c,1,0,1,2.11
22d,1,0,1,3.33
23a,1,0,1,0.54
23b,1,0,1,0.45
23c,1,0,1,0.54
24a,1,0,1,5.03
24b,1,0,1,2.97
25a,1,0,1,3.70
25b,1,0,1,3.67
25c,1,0,1,4.76
26a,1,0,1,2.92
26b,1,0,1,2.42
26c,1,0,1,3.31
27a,1,0,1,0.22
27b,1,0,1,0.22
27c,1,0,1,0.26
28a,1,0,1,1.05
28b,1,0,1,0.71
28c,1,0,1,1.29
29a,1,0,1,1.73
29b,1,0,1,1.40
29c,1,0,1,3.16
30a,1,0,1,3.84
30b,1,0,1,3.86
30c,1,0,1,3.29
31a,1,0,1,3.68
31b,1,0,1,3.81
31c,1,0,1,3.42
32a,1,0,1,0.04
32b,1,0,1,0.29
33a,1,0,1,0.67
33b,1,0,1,0.65
33c,1,0,1,0.79
1a,1,1,1,0.38
1b,1,1,1,0.36
1c,1,1,1,0.25
1d,1,1,1,0.37
2a,1,1,1,0.63
2b,1,1,1,0.63
2c,1,1,1,0.42
2d,1,1,1,0.67
3a,1,1,1,1.93
3b,1,1,1,0.93
3c,1,1,1,2.27
4a,1,1,1,0.60
4b,1,1,1,0.33
4c,1,1,1,0.78
5a,1,1,1,1.71
5b,1,1,1,1.09
5c,1,1,1,2.06
6a,1,1,1,0.69
6b,1,1,1,0.73
6c,1,1,1,0.67
6d,1,1,1,0.93
6e,1,1,1,0.69
6f,1,1,1,14.42
7a,1,1,1,2.79
7b,1,1,1,2.73
7c,1,1,1,4.88
8a,1,1,1,1.41
8b,1,1,1,1.22
8c,1,1,1,3.38
8d,1,1,1,1.15
9a,1,1,1,1.65
9b,1,1,1,1.99
9c,1,1,1,1.62
9d,1,1,1,1.94
10a,1,1,1,1.23
10b,1,1,1,0.84
10c,1,1,1,2.26
11a,1,1,1,0.33
11b,1,1,1,0.27
11c,1,1,1,1.47
11d,1,1,1,2.03
12a,1,1,1,1.43
12b,1,1,1,0.72
12c,1,1,1,1.64
13a,1,1,1,6.78
13b,1,1,1,3.00
13c,1,1,1,1.95
13d,1,1,1,6.43
14a,1,1,1,0.73
14b,1,1,1,0.57
14c,1,1,1,0.87
15a,1,1,1,0.90
15b,1,1,1,0.59
15c,1,1,1,0.78
15d,1,1,1,0.60
16a,1,1,1,191.64
16b,1,1,1,185.64
16c,1,1,1,184.91
16d,1,1,1,185.95
17a,1,1,1,16.77
17b,1,1,1,16.68
17c,1,1,1,16.78
17d,1,1,1,16.50
17e,1,1,1,18.64
17f,1,1,1,17.38
18a,1,1,1,7.22
18b,1,1,1,3.56
18c,1,1,1,4.46
19a,1,1,1,2.53
19b,1,1,1,2.19
19c,1,1,1,2.58
19d,1,1,1,2.01
20a,1,1,1,17.41
20b,1,1,1,0.61
20c,1,1,1,10.59
21a,1,1,1,1.49
21b,1,1,1,0.88
21c,1,1,1,1.49
22a,1,1,1,1.87
22b,1,1,1,1.85
22c,1,1,1,2.53
22d,1,1,1,3.05
23a,1,1,1,0.54
23b,1,1,1,0.44
23c,1,1,1,0.55
24a,1,1,1,1.71
24b,1,1,1,1.49
25a,1,1,1,3.46
25b,1,1,1,3.41
25c,1,1,1,4.22
26a,1,1,1,31.98
26b,1,1,1,18.02
26c,1,1,1,72.07
27a,1,1,1,0.32
27b,1,1,1,0.31
27c,1,1,1,0.37
28a,1,1,1,5.09
28b,1,1,1,1.15
28c,1,1,1,3.06
29a,1,1,1,1.31
29b,1,1,1,1.91
29c,1,1,1,2.54
30a,1,1,1,4.11
30b,1,1,1,3.75
30c,1,1,1,4.64
31a,1,1,1,3.95
31b,1,1,1,3.14
31c,1,1,1,7.09
32a,1,1,1,0.04
32b,1,1,1,0.29
33a,1,1,1,0.77
33b,1,1,1,0.73
33c,1,1,1,0.86
1a,1,2,1,0.60
1b,1,2,1,0.34
1c,1,2,1,0.25
1d,1,2,1,0.45
2a,1,2,1,0.75
2b,1,2,1,0.75
2c,1,2,1,0.75
2d,1,2,1,0.76
3a,1,2,1,1.89
3b,1,2,1,0.88
3c,1,2,1,2.16
4a,1,2,1,0.61
4b,1,2,1,0.45
4c,1,2,1,0.77
5a,1,2,1,1.95
5b,1,2,1,1.26
5c,1,2,1,2.34
6a,1,2,1,4.86
6b,1,2,1,0.73
6c,1,2,1,1.63
6d,1,2,1,0.94
6e,1,2,1,10.14
6f,1,2,1,10.70
7a,1,2,1,3.25
7b,1,2,1,3.15
7c,1,2,1,6.46
8a,1,2,1,1.42
8b,1,2,1,1.28
8c,1,2,1,2.35
8d,1,2,1,0.98
9a,1,2,1,3.08
9b,1,2,1,1.73
9c,1,2,1,3.83
9d,1,2,1,4.11
10a,1,2,1,1.11
10b,1,2,1,0.60
10c,1,2,1,2.32
11a,1,2,1,0.21
11b,1,2,1,0.18
11c,1,2,1,0.97
11d,1,2,1,2.13
12a,1,2,1,1.18
12b,1,2,1,23.18
12c,1,2,1,1.39
13a,1,2,1,4.06
13b,1,2,1,2.69
13c,1,2,1,1.77
13d,1,2,1,3.80
14a,1,2,1,2.10
14b,1,2,1,1.83
14c,1,2,1,2.25
15a,1,2,1,1.54
15b,1,2,1,1.46
15c,1,2,1,1.10
15d,1,2,1,0.91
16a,1,2,1,218.62
16b,1,2,1,286.20
16c,1,2,1,227.42
16d,1,2,1,226.37
17a,1,2,1,3.40
17b,1,2,1,2.59
17c,1,2,1,1.67
17d,1,2,1,2.45
17e,1,2,1,20.98
17f,1,2,1,20.84
18a,1,2,1,1.43
18b,1,2,1,2.44
18c,1,2,1,2.41
19a,1,2,1,4.07
19b,1,2,1,2.87
19c,1,2,1,4.82
19d,1,2,1,24.44
20a,1,2,1,6.46
20b,1,2,1,1.10
20c,1,2,1,7.53
21a,1,2,1,0.25
21b,1,2,1,0.20
21c,1,2,1,0.26
22a,1,2,1,1.04
22b,1,2,1,0.93
22c,1,2,1,1.73
22d,1,2,1,3.98
23a,1,2,1,1.55
23b,1,2,1,1.23
23c,1,2,1,1.60
24a,1,2,1,1.70
24b,1,2,1,1.68
25a,1,2,1,4.49
25b,1,2,1,4.24
25c,1,2,1,5.41
26a,1,2,1,3.23
26b,1,2,1,2.51
26c,1,2,1,5.01
27a,1,2,1,1.09
27b,1,2,1,1.08
27c,1,2,1,1.64
28a,1,2,1,1.66
28b,1,2,1,0.76
28c,1,2,1,2.24
29a,1,2,1,3.84
29b,1,2,1,1.38
29c,1,2,1,14.67
30a,1,2,1,4.12
30b,1,2,1,4.22
30c,1,2,1,3.58
31a,1,2,1,4.28
31b,1,2,1,4.10
31c,1,2,1,5.17
32a,1,2,1,0.21
32b,1,2,1,0.40
33a,1,2,1,0.57
33b,1,2,1,0.38
33c,1,2,1,0.62
1a,1,3,1,0.37
1b,1,3,1,0.31
1c,1,3,1,0.24
1d,1,3,1,0.36
2a,1,3,1,0.58
2b,1,3,1,0.58
2c,1,3,1,0.57
2d,1,3,1,0.58
3a,1,3,1,1.90
3b,1,3,1,0.93
3c,1,3,1,2.25
4a,1,3,1,0.46
4b,1,3,1,0.33
4c,1,3,1,0.56
5a,1,3,1,1.98
5b,1,3,1,1.30
5c,1,3,1,2.33
6a,1,3,1,11.83
6b,1,3,1,0.74
6c,1,3,1,11.61
6d,1,3,1,0.94
6e,1,3,1,11.84
6f,1,3,1,12.82
7a,1,3,1,4.89
7b,1,3,1,4.08
7c,1,3,1,13.25
8a,1,3,1,0.88
8b,1,3,1,0.59
8c,1,3,1,2.63
8d,1,3,1,1.15
9a,1,3,1,1.20
9b,1,3,1,1.66
9c,1,3,1,1.13
9d,1,3,1,1.72
10a,1,3,1,2.31
10b,1,3,1,2.08
10c,1,3,1,2.34
11a,1,3,1,0.19
11b,1,3,1,0.25
11c,1,3,1,0.26
11d,1,3,1,0.28
12a,1,3,1,0.42
12b,1,3,1,0.39
12c,1,3,1,0.63
13a,1,3,1,2.23
13b,1,3,1,0.66
13c,1,3,1,0.51
13d,1,3,1,2.00
14a,1,3,1,1.94
14b,1,3,1,1.88
14c,1,3,1,2.19
15a,1,3,1,1.47
15b,1,3,1,1.44
15c,1,3,1,1.85
15d,1,3,1,1.22
16a,1,3,1,4.36
16b,1,3,1,38.95
16c,1,3,1,10.94
16d,1,3,1,9.75
17a,1,3,1,11.65
17b,1,3,1,7.30
17c,1,3,1,6.60
17d,1,3,1,11.81
17e,1,3,1,21.23
17f,1,3,1,29.45
18a,1,3,1,2.63
18b,1,3,1,3.74
18c,1,3,1,4.04
19a,1,3,1,4.12
19b,1,3,1,2.02
19c,1,3,1,4.50
19d,1,3,1,10.30
20a,1,3,1,4.82
20b,1,3,1,0.78
20c,1,3,1,5.88
21a,1,3,1,0.46
21b,1,3,1,0.42
21c,1,3,1,0.50
22a,1,3,1,2.27
22b,1,3,1,2.23
22c,1,3,1,2.93
22d,1,3,1,10.35
