query,case,seed,run_idx,runtime_seconds,Join1,Join2,Join3,Join4,Join5,Join6,Join7,Join8,Join9,Join10,Join11,Join12,Join13,Join14,Join15,Join16
1a,1,,1,0.07,probe=title build= build_rows=142 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build=company_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_companies build= build_rows=250 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_info_idx build=info_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,,,,,,,,
1b,1,,1,0.06,probe= build=company_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_companies build= build_rows=4 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=title build= build_rows=10 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_info_idx build=info_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,,,,,,,,
1c,1,,1,0.06,probe= build=company_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_companies build= build_rows=12 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=title build= build_rows=250 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_info_idx build=info_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,,,,,,,,
1d,1,,1,0.06,probe= build=company_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_companies build= build_rows=6 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=title build= build_rows=10 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_info_idx build=info_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,,,,,,,,
2a,1,,1,0.13,probe=title build= build_rows=7834 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=company_name build= build_rows=148552 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_companies build= build_rows=41838 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_keyword build=keyword build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,,,,,,,,
2b,1,,1,0.14,probe=title build= build_rows=5228 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=company_name build= build_rows=148552 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_companies build= build_rows=41838 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_keyword build=keyword build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,,,,,,,,
2c,1,,1,0.10,probe=title build= build_rows=0 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=company_name build= build_rows=148552 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_companies build= build_rows=41838 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_keyword build=keyword build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,,,,,,,,
2d,1,,1,0.15,probe=title build= build_rows=68316 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=company_name build= build_rows=148552 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_companies build= build_rows=41838 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_keyword build=keyword build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,,,,,,,,
3a,1,,1,0.40,probe= build= build_rows=2235 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_info build= build_rows=8 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build=title build_rows=1012683 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_keyword build=keyword build_rows=30 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,,,,,,,,
3b,1,,1,0.27,probe=keyword build= build_rows=920 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_keyword build= build_rows=227 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=title build=movie_info build_rows=2287 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,,,,,,,,,
3c,1,,1,0.43,probe= build= build_rows=7874 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_info build= build_rows=10 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build=title build_rows=1748483 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_keyword build=keyword build_rows=30 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,,,,,,,,
4a,1,,1,0.20,probe=keyword build= build_rows=697651 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_keyword build= build_rows=106021 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=title build= build_rows=352990 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_info_idx build=info_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,,,,,,,,
4b,1,,1,0.09,probe=keyword build= build_rows=1070 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_keyword build= build_rows=72 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=title build= build_rows=305 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_info_idx build=info_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,,,,,,,,
4c,1,,1,0.26,,,,,,,,,,,,,,,,
5a,1,,1,0.10,probe= build=info_type build_rows=110 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build= build_rows=0 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_info build= build_rows=8 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build=company_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=title build=movie_companies build_rows=24025 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,,,,,,,
5b,1,,1,0.29,probe= build=info_type build_rows=110 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_info build= build_rows=0 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build=company_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=title build=movie_companies build_rows=1418 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,,,,,,,,
5c,1,,1,0.41,probe= build=info_type build_rows=110 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build= build_rows=767 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_info build= build_rows=10 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build=company_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=title build=movie_companies build_rows=295628 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,,,,,,,
6a,1,,1,0.26,probe=name build= build_rows=1224 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=cast_info build= build_rows=11 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=title build= build_rows=14 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_keyword build=keyword build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,,,,,,,,
6b,1,,1,0.12,probe= build=name build_rows=2 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=cast_info build= build_rows=36 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build=title build_rows=438 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_keyword build= build_rows=8 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=keyword build= build_rows=8 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,,,,,,,
6c,1,,1,0.21,probe=name build= build_rows=33 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=cast_info build= build_rows=2 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=title build= build_rows=14 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_keyword build=keyword build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,,,,,,,,
6d,1,,1,0.21,probe= build=name build_rows=2 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=cast_info build= build_rows=14165 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build=title build_rows=1381132 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_keyword build= build_rows=8 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=keyword build= build_rows=8 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,,,,,,,
6e,1,,1,0.26,probe=name build= build_rows=1224 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=cast_info build= build_rows=11 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=title build= build_rows=14 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_keyword build=keyword build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,,,,,,,,
6f,1,,1,0.63,probe= build=name build_rows=4061926 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=cast_info build= build_rows=14165 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build=title build_rows=1381132 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_keyword build= build_rows=8 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=keyword build= build_rows=8 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,,,,,,,
7a,1,,1,0.18,probe=title build= build_rows=151 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=link_type build= build_rows=510 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_link build= build_rows=3354 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=cast_info build= build_rows=20 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=aka_name build= build_rows=17 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=name build= build_rows=62 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=person_info build=info_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,,,,,
7b,1,,1,0.10,probe=title build= build_rows=46 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=link_type build= build_rows=176 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_link build= build_rows=353 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=cast_info build= build_rows=3 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=name build= build_rows=96 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=aka_name build= build_rows=62 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=person_info build=info_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,,,,,
7c,1,,1,1.26,probe=title build= build_rows=109842 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build=link_type build_rows=4 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_link build= build_rows=1618081 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=cast_info build= build_rows=12595 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build=info_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=person_info build= build_rows=87695 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=name build=aka_name build_rows=588268 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,,,,,
8a,1,,1,0.18,probe=title build= build_rows=62 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=aka_name build= build_rows=38 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=company_name build= build_rows=39 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_companies build= build_rows=394 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=name build= build_rows=34848 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=cast_info build=role_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,,,,,,
8b,1,,1,0.16,probe=title build= build_rows=25 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=aka_name build= build_rows=16 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=company_name build= build_rows=16 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_companies build= build_rows=394 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=name build= build_rows=34848 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=cast_info build=role_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,,,,,,
8c,1,,1,0.45,probe=title build= build_rows=2487611 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=name build= build_rows=2487611 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=aka_name build= build_rows=1970658 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build=role_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=cast_info build= build_rows=1153798 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_companies build=company_name build_rows=84843 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,,,,,,
8d,1,,1,0.25,probe=title build= build_rows=323005 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=name build= build_rows=323005 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=aka_name build= build_rows=285538 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build=role_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=cast_info build= build_rows=1153798 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_companies build=company_name build_rows=84843 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,,,,,,
9a,1,,1,0.31,probe=char_name build= build_rows=121 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=name build= build_rows=69895 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=aka_name build= build_rows=30619 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build=role_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=cast_info build= build_rows=144120 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=title build= build_rows=542096 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_companies build=company_name build_rows=84843 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,,,,,
9b,1,,1,0.23,probe=char_name build= build_rows=40 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=name build= build_rows=20424 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=title build= build_rows=60283 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=aka_name build= build_rows=26447 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=company_name build= build_rows=29100 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_companies build= build_rows=222685 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=cast_info build=role_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,,,,,
9c,1,,1,0.31,probe=title build= build_rows=8144 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=char_name build= build_rows=8144 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=name build= build_rows=505250 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=aka_name build= build_rows=189554 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build=role_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=cast_info build= build_rows=1153798 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_companies build=company_name build_rows=84843 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,,,,,
