query,case,seed,run_idx,runtime_seconds
1a,1,0,1,0.07
1b,1,0,1,0.07
1c,1,0,1,0.06
1d,1,0,1,0.07
2a,1,0,1,0.14
2b,1,0,1,0.14
2c,1,0,1,0.10
2d,1,0,1,0.15
3a,1,0,1,0.42
3b,1,0,1,0.26
3c,1,0,1,0.47
4a,1,0,1,0.12
4b,1,0,1,0.08
4c,1,0,1,0.14
5a,1,0,1,0.35
5b,1,0,1,0.27
5c,1,0,1,0.40
6a,1,0,1,1.64
6b,1,0,1,0.19
6c,1,0,1,1.63
6d,1,0,1,0.25
6e,1,0,1,1.62
6f,1,0,1,1.91
7a,1,0,1,0.52
7b,1,0,1,0.65
7c,1,0,1,0.74
8a,1,0,1,0.30
8b,1,0,1,0.28
8c,1,0,1,2.90
8d,1,0,1,2.82
9a,1,0,1,0.65
9b,1,0,1,0.56
9c,1,0,1,0.76
9d,1,0,1,0.80
10a,1,0,1,0.39
10b,1,0,1,0.37
10c,1,0,1,0.48
11a,1,0,1,0.09
11b,1,0,1,0.08
11c,1,0,1,0.08
11d,1,0,1,0.09
12a,1,0,1,0.13
12b,1,0,1,0.12
12c,1,0,1,0.16
13a,1,0,1,0.29
13b,1,0,1,0.35
13c,1,0,1,0.34
13d,1,0,1,0.36
14a,1,0,1,0.26
14b,1,0,1,0.22
14c,1,0,1,0.27
15a,1,0,1,0.24
15b,1,0,1,0.19
15c,1,0,1,0.23
15d,1,0,1,0.17
