query,case,seed,run_idx,runtime_seconds
1a,1,,1,0.06
1b,1,,1,0.05
1c,1,,1,0.06
1d,1,,1,0.06
2a,1,,1,0.13
2b,1,,1,0.13
2c,1,,1,0.09
2d,1,,1,0.14
3a,1,,1,0.39
3b,1,,1,0.26
3c,1,,1,0.42
4a,1,,1,0.19
4b,1,,1,0.09
4c,1,,1,0.26
5a,1,,1,0.10
5b,1,,1,0.29
5c,1,,1,0.40
6a,1,,1,0.24
6b,1,,1,0.12
6c,1,,1,0.20
6d,1,,1,0.20
6e,1,,1,0.25
6f,1,,1,0.62
7a,1,,1,0.17
7b,1,,1,0.09
7c,1,,1,1.23
8a,1,,1,0.17
8b,1,,1,0.16
8c,1,,1,0.43
8d,1,,1,0.24
9a,1,,1,0.30
9b,1,,1,0.22
9c,1,,1,0.30
9d,1,,1,0.37
10a,1,,1,0.20
10b,1,,1,0.15
10c,1,,1,0.43
11a,1,,1,0.08
11b,1,,1,0.08
11c,1,,1,0.27
11d,1,,1,0.72
12a,1,,1,0.11
12b,1,,1,0.14
12c,1,,1,0.14
13a,1,,1,0.11
13b,1,,1,0.15
13c,1,,1,0.14
13d,1,,1,0.19
14a,1,,1,0.15
14b,1,,1,0.10
14c,1,,1,0.21
15a,1,,1,0.23
15b,1,,1,0.32
15c,1,,1,0.31
15d,1,,1,0.26
16a,1,,1,0.25
16b,1,,1,0.74
16c,1,,1,0.37
16d,1,,1,0.35
17a,1,,1,0.45
17b,1,,1,0.54
17c,1,,1,0.54
17d,1,,1,0.55
17e,1,,1,0.49
17f,1,,1,0.63
18a,1,,1,0.36
18b,1,,1,0.42
18c,1,,1,0.48
19a,1,,1,0.38
19b,1,,1,0.38
19c,1,,1,0.43
19d,1,,1,0.42
20a,1,,1,0.46
20b,1,,1,0.38
20c,1,,1,0.42
21a,1,,1,0.12
21b,1,,1,0.09
21c,1,,1,0.12
22a,1,,1,0.25
22b,1,,1,0.21
22c,1,,1,0.42
22d,1,,1,0.56
23a,1,,1,0.26
23b,1,,1,0.18
23c,1,,1,0.27
24a,1,,1,0.42
24b,1,,1,0.24
25a,1,,1,0.50
25b,1,,1,0.22
25c,1,,1,0.61
26a,1,,1,0.39
26b,1,,1,0.30
26c,1,,1,0.44
27a,1,,1,0.11
27b,1,,1,0.08
27c,1,,1,0.12
28a,1,,1,0.56
28b,1,,1,0.39
28c,1,,1,0.56
29a,1,,1,0.36
29b,1,,1,0.36
29c,1,,1,0.59
30a,1,,1,0.49
30b,1,,1,0.42
30c,1,,1,0.57
31a,1,,1,0.50
31b,1,,1,0.28
31c,1,,1,0.58
32a,1,,1,0.04
32b,1,,1,0.09
33a,1,,1,0.08
33b,1,,1,0.09
33c,1,,1,0.11
1a,2,,1,0.06
1b,2,,1,0.05
1c,2,,1,0.05
1d,2,,1,0.05
2a,2,,1,0.10
2b,2,,1,0.09
2c,2,,1,0.05
2d,2,,1,0.13
3a,2,,1,0.32
3b,2,,1,0.28
3c,2,,1,0.35
4a,2,,1,0.12
4b,2,,1,0.07
4c,2,,1,0.16
5a,2,,1,0.05
5b,2,,1,0.09
5c,2,,1,0.28
6a,2,,1,0.14
6b,2,,1,0.11
6c,2,,1,0.10
6d,2,,1,0.20
6e,2,,1,0.12
6f,2,,1,0.62
7a,2,,1,0.15
7b,2,,1,0.09
7c,2,,1,0.45
8a,2,,1,0.17
8b,2,,1,0.14
8c,2,,1,0.43
8d,2,,1,0.24
9a,2,,1,0.27
9b,2,,1,0.19
9c,2,,1,0.24
9d,2,,1,0.37
10a,2,,1,0.19
10b,2,,1,0.17
10c,2,,1,0.41
11a,2,,1,0.07
11b,2,,1,0.06
11c,2,,1,0.07
11d,2,,1,0.15
12a,2,,1,0.08
12b,2,,1,0.07
12c,2,,1,0.11
13a,2,,1,0.11
13b,2,,1,0.09
13c,2,,1,0.08
13d,2,,1,0.19
14a,2,,1,0.12
14b,2,,1,0.09
14c,2,,1,0.14
15a,2,,1,0.22
15b,2,,1,0.19
15c,2,,1,0.31
15d,2,,1,0.27
16a,2,,1,0.19
16b,2,,1,0.60
16c,2,,1,0.28
16d,2,,1,0.26
17a,2,,1,0.32
17b,2,,1,0.41
17c,2,,1,0.20
17d,2,,1,0.25
17e,2,,1,0.36
17f,2,,1,0.37
18a,2,,1,0.29
18b,2,,1,0.27
18c,2,,1,0.41
19a,2,,1,0.32
19b,2,,1,0.22
19c,2,,1,0.36
19d,2,,1,0.44
20a,2,,1,0.25
20b,2,,1,0.21
20c,2,,1,0.28
21a,2,,1,0.10
21b,2,,1,0.08
21c,2,,1,0.10
22a,2,,1,0.18
22b,2,,1,0.17
22c,2,,1,0.25
22d,2,,1,0.21
23a,2,,1,0.19
23b,2,,1,0.18
23c,2,,1,0.20
24a,2,,1,0.32
24b,2,,1,0.19
25a,2,,1,0.34
25b,2,,1,0.19
25c,2,,1,0.38
26a,2,,1,0.28
26b,2,,1,0.22
26c,2,,1,0.29
27a,2,,1,0.10
27b,2,,1,0.08
27c,2,,1,0.11
28a,2,,1,0.16
28b,2,,1,0.14
28c,2,,1,0.22
29a,2,,1,0.25
29b,2,,1,0.23
29c,2,,1,0.29
30a,2,,1,0.29
30b,2,,1,0.27
30c,2,,1,0.36
31a,2,,1,0.32
31b,2,,1,0.25
31c,2,,1,0.35
32a,2,,1,0.04
32b,2,,1,0.09
33a,2,,1,0.08
33b,2,,1,0.07
33c,2,,1,0.11
1a,3,,1,0.06
1b,3,,1,0.05
1c,3,,1,0.05
1d,3,,1,0.05
2a,3,,1,0.09
2b,3,,1,0.09
2c,3,,1,0.05
2d,3,,1,0.13
3a,3,,1,0.33
3b,3,,1,0.27
3c,3,,1,0.36
4a,3,,1,0.12
4b,3,,1,0.07
4c,3,,1,0.16
5a,3,,1,0.04
5b,3,,1,0.09
5c,3,,1,0.29
6a,3,,1,0.14
6b,3,,1,0.11
6c,3,,1,0.10
6d,3,,1,0.20
6e,3,,1,0.12
6f,3,,1,0.62
7a,3,,1,0.16
7b,3,,1,0.09
7c,3,,1,0.44
8a,3,,1,0.17
8b,3,,1,0.15
8c,3,,1,0.44
8d,3,,1,0.24
9a,3,,1,0.27
9b,3,,1,0.18
9c,3,,1,0.25
9d,3,,1,0.38
10a,3,,1,0.19
10b,3,,1,0.16
10c,3,,1,0.42
11a,3,,1,0.07
11b,3,,1,0.07
11c,3,,1,0.09
11d,3,,1,0.15
12a,3,,1,0.08
12b,3,,1,0.07
12c,3,,1,0.11
13a,3,,1,0.11
13b,3,,1,0.09
13c,3,,1,0.08
13d,3,,1,0.20
14a,3,,1,0.11
14b,3,,1,0.09
14c,3,,1,0.14
15a,3,,1,0.22
15b,3,,1,0.18
15c,3,,1,0.31
15d,3,,1,0.27
16a,3,,1,0.19
16b,3,,1,0.60
16c,3,,1,0.27
16d,3,,1,0.26
17a,3,,1,0.31
17b,3,,1,0.41
17c,3,,1,0.19
17d,3,,1,0.25
17e,3,,1,0.36
17f,3,,1,0.36
18a,3,,1,0.30
18b,3,,1,0.27
18c,3,,1,0.40
19a,3,,1,0.32
19b,3,,1,0.22
19c,3,,1,0.38
19d,3,,1,0.44
20a,3,,1,0.28
20b,3,,1,0.21
20c,3,,1,0.28
21a,3,,1,0.10
21b,3,,1,0.08
21c,3,,1,0.11
22a,3,,1,0.18
22b,3,,1,0.17
22c,3,,1,0.25
22d,3,,1,0.22
23a,3,,1,0.19
23b,3,,1,0.18
23c,3,,1,0.20
24a,3,,1,0.33
24b,3,,1,0.19
25a,3,,1,0.34
25b,3,,1,0.19
25c,3,,1,0.37
26a,3,,1,0.28
26b,3,,1,0.23
26c,3,,1,0.28
27a,3,,1,0.10
27b,3,,1,0.08
27c,3,,1,0.11
28a,3,,1,0.16
28b,3,,1,0.15
28c,3,,1,0.19
29a,3,,1,0.23
29b,3,,1,0.23
29c,3,,1,0.31
30a,3,,1,0.29
30b,3,,1,0.27
30c,3,,1,0.36
31a,3,,1,0.32
31b,3,,1,0.26
31c,3,,1,0.35
32a,3,,1,0.04
32b,3,,1,0.09
33a,3,,1,0.08
33b,3,,1,0.07
33c,3,,1,0.11
1a,4,,1,0.06
1b,4,,1,0.05
1c,4,,1,0.05
1d,4,,1,0.05
2a,4,,1,0.09
2b,4,,1,0.08
2c,4,,1,0.04
2d,4,,1,0.11
3a,4,,1,0.29
3b,4,,1,0.27
3c,4,,1,0.29
4a,4,,1,0.09
4b,4,,1,0.07
4c,4,,1,0.10
5a,4,,1,0.05
5b,4,,1,0.09
5c,4,,1,0.27
6a,4,,1,0.14
6b,4,,1,0.11
6c,4,,1,0.10
6d,4,,1,0.13
6e,4,,1,0.11
6f,4,,1,0.64
7a,4,,1,0.19
7b,4,,1,0.17
7c,4,,1,0.45
8a,4,,1,0.16
8b,4,,1,0.14
8c,4,,1,0.44
8d,4,,1,0.24
9a,4,,1,0.21
9b,4,,1,0.18
9c,4,,1,0.21
9d,4,,1,0.33
10a,4,,1,0.17
10b,4,,1,0.16
10c,4,,1,0.44
11a,4,,1,0.07
11b,4,,1,0.07
11c,4,,1,0.08
11d,4,,1,0.09
12a,4,,1,0.09
12b,4,,1,0.08
12c,4,,1,0.11
13a,4,,1,0.12
13b,4,,1,0.09
13c,4,,1,0.08
13d,4,,1,0.19
14a,4,,1,0.09
14b,4,,1,0.08
14c,4,,1,0.10
15a,4,,1,0.22
15b,4,,1,0.19
15c,4,,1,0.20
15d,4,,1,0.14
16a,4,,1,0.18
16b,4,,1,0.61
16c,4,,1,0.31
16d,4,,1,0.30
17a,4,,1,0.31
17b,4,,1,0.41
17c,4,,1,0.16
17d,4,,1,0.21
17e,4,,1,0.36
17f,4,,1,0.39
18a,4,,1,0.27
18b,4,,1,0.27
18c,4,,1,0.38
19a,4,,1,0.30
19b,4,,1,0.22
19c,4,,1,0.27
19d,4,,1,0.36
20a,4,,1,0.24
20b,4,,1,0.20
20c,4,,1,0.29
21a,4,,1,0.11
21b,4,,1,0.10
21c,4,,1,0.10
22a,4,,1,0.17
22b,4,,1,0.17
22c,4,,1,0.17
22d,4,,1,0.16
23a,4,,1,0.18
23b,4,,1,0.18
23c,4,,1,0.20
24a,4,,1,0.31
24b,4,,1,0.19
25a,4,,1,0.31
25b,4,,1,0.26
25c,4,,1,0.35
26a,4,,1,0.26
26b,4,,1,0.23
26c,4,,1,0.27
27a,4,,1,0.10
27b,4,,1,0.08
27c,4,,1,0.11
28a,4,,1,0.15
28b,4,,1,0.14
28c,4,,1,0.16
29a,4,,1,0.22
29b,4,,1,0.22
29c,4,,1,0.27
30a,4,,1,0.30
30b,4,,1,0.27
30c,4,,1,0.33
31a,4,,1,0.30
31b,4,,1,0.24
31c,4,,1,0.33
32a,4,,1,0.04
32b,4,,1,0.08
33a,4,,1,0.08
33b,4,,1,0.07
33c,4,,1,0.10
