query,case,seed,run_idx,runtime_seconds
2b,3,,1,0.09
2c,3,,1,0.05
2d,3,,1,0.13
3a,3,,1,0.33
3b,3,,1,0.28
3c,3,,1,0.35
4a,3,,1,0.13
4b,3,,1,0.07
4c,3,,1,0.16
5a,3,,1,0.05
5b,3,,1,0.09
5c,3,,1,0.28
6a,3,,1,0.14
6b,3,,1,0.11
6c,3,,1,0.11
6d,3,,1,0.20
6e,3,,1,0.12
6f,3,,1,0.64
7a,3,,1,0.16
7b,3,,1,0.10
7c,3,,1,0.45
8a,3,,1,0.17
8b,3,,1,0.15
8c,3,,1,0.44
8d,3,,1,0.25
9a,3,,1,0.28
9b,3,,1,0.19
9c,3,,1,0.26
9d,3,,1,0.38
10a,3,,1,0.20
10b,3,,1,0.17
10c,3,,1,0.42
11a,3,,1,0.07
11b,3,,1,0.07
11c,3,,1,0.09
11d,3,,1,0.16
12a,3,,1,0.09
12b,3,,1,0.07
12c,3,,1,0.12
13a,3,,1,0.12
13b,3,,1,0.09
13c,3,,1,0.08
13d,3,,1,0.19
14a,3,,1,0.11
14b,3,,1,0.09
14c,3,,1,0.15
15a,3,,1,0.22
15b,3,,1,0.18
15c,3,,1,0.32
15d,3,,1,0.28
16a,3,,1,0.19
16b,3,,1,0.62
