label,query,case,k_breakeven,med_c1,med_c,med_bf
job_t1,job_q10a,2,19.779345151621992,1.3071530065,0.9292394365000001,0.020123895
job_t1,job_q10b,2,8.771803770835875,1.124306791,0.6639474219999999,0.05923455899999999
job_t1,job_q10c,2,-15.545185863021338,2.174358555,2.2378576629999998,0.003837920500000001
job_t1,job_q11a,2,7.591698472517001,0.149143178,0.10435947849999999,0.006793954499999999
job_t1,job_q11b,2,-12.601519909511579,0.1502022255,0.2311002915,0.0059477225000000005
job_t1,job_q11c,2,32.515822217990745,0.2231666945,0.1311432355,0.0029199129999999997
job_t1,job_q11d,2,6.7692938321753555,0.2379427155,0.19862893,0.006814315
job_t1,job_q12a,2,10.189040288521726,0.5791031405,0.285040325,0.03200147200000001
job_t1,job_q12b,2,44.0865393985475,0.49743861899999997,0.2792401755,0.005064190499999999
job_t1,job_q12c,2,8.697360756763764,0.7250600515000001,0.40333565,0.04179671599999999
job_t1,job_q13a,2,23.417578635227866,3.768822991,0.5100460305,0.145367036
job_t1,job_q13b,2,35.70185882357557,1.2029790345,0.265335052,0.027019993
job_t1,job_q13c,2,71.45205368400211,1.066703697,0.205040101,0.0122304965
job_t1,job_q13d,2,14.101021825700458,2.9277766025,1.1111190615,0.13866533199999997
job_t1,job_q14a,2,42.98252660307965,1.925718786,0.20193589150000002,0.041059531999999996
job_t1,job_q14b,2,107.92396696696511,1.72896839,0.204928803,0.014253488999999994
job_t1,job_q14c,2,48.56960883140794,2.1431962945,0.3599661655,0.03748675200000002
job_t1,job_q15a,2,95.24764784362286,1.391749957,0.8467116155000001,0.005783044499999999
job_t1,job_q15b,2,423.73979190963604,1.2793883215,0.6528471554999999,0.0014820965000000002
job_t1,job_q15c,2,175.7239633814731,1.4113797565000001,0.804325545,0.003474361500000001
job_t1,job_q15d,2,54.981968370469616,0.86866809,0.6828243405000001,0.0034427005
job_t1,job_q16a,2,24.32513157698334,6.184848166,1.18361071,0.2144141154999999
job_t1,job_q16b,2,446.28415332901136,147.875865954,4.654458922,0.32164047599999956
