label,k,win_c1,win_c2,win_c3,win_c4,geomean_c2_vs_c1,geomean_c3_vs_c1,geomean_c4_vs_c1,sum_med_c1,sum_med_c2,sum_med_c4
job_t1,1.0,3,10,2,97,2.645740493380395,2.628137938091696,2.9232070775246424,620.203526241,118.2928260335,110.20468082250001
job_t1,1.5,3,11,4,94,2.5242233598110717,2.50748321254159,2.732709985197412,620.203526241,124.21221997725,118.21082339775
job_t1,2.0,4,17,6,85,2.4162485391971735,2.401383577221195,2.567653545288226,620.203526241,130.137625732,126.37117385449999
job_t1,3.0,5,30,12,65,2.2295971783206725,2.2159998157615473,2.2980432590756212,620.203526241,141.9872312215,142.566464709
job_t1,5.0,9,46,19,38,1.9423185267708092,1.9309395871914636,1.911996671944729,620.203526241,165.45848117349996,174.87755551649997
job_t1,10.0,38,42,22,10,1.500274200916292,1.4927666839637947,1.3698096425093442,620.203526241,222.2936765784999,255.1667541524999
tpch_sf100_t1,1.0,2,3,3,14,1.2527580032231325,1.137396613773485,1.4325913435087876,1151.681057016,873.4740973345,790.3566464585001
tpch_sf100_t1,1.5,2,4,3,13,1.2163893436368727,1.1056484514456746,1.338380007231793,1151.681057016,898.2008288567497,841.9916372764997
tpch_sf100_t1,2.0,3,4,3,12,1.1839181170982447,1.0775175436231108,1.2617621095008513,1151.681057016,923.0351106854994,893.1963278909993
tpch_sf100_t1,3.0,3,5,4,10,1.1301018509197267,1.029943958899698,1.1418287287805806,1151.681057016,972.2464309659983,995.546379252499
tpch_sf100_t1,5.0,7,6,3,6,1.0477165890115123,0.9573839687332446,0.9786895695906364,1151.681057016,1070.8181017929987,1200.2425482789993
tpch_sf100_t1,10.0,10,4,3,5,0.9135106391106509,0.8371356687526944,0.7538932732166636,1151.681057016,1318.0285926044976,1713.8967243559941
tpcds_sf100_t1,1.0,19,15,12,51,1.4085709360377634,1.3818056270066157,1.5814760349559098,2791.1237392860003,2264.217551505,2051.3894575884997
tpcds_sf100_t1,1.5,24,24,10,39,1.3571709630479667,1.3315311081175174,1.4733583753888868,2791.1237392860003,2316.931161925249,2161.943962705749
tpcds_sf100_t1,2.0,28,24,13,32,1.310943182452104,1.2861630851218449,1.3820749843424451,2791.1237392860003,2369.5559821089987,2272.8608515879987
tpcds_sf100_t1,3.0,35,29,13,20,1.2306701959812751,1.2077797395917347,1.2350938062635233,2791.1237392860003,2474.558573550497,2494.294812554497
tpcds_sf100_t1,5.0,42,31,10,14,1.1035460548875027,1.0843402923726917,1.0284455670707964,2791.1237392860003,2685.0430312224944,2936.844553610495
tpcds_sf100_t1,10.0,67,18,4,8,0.8933391276089753,0.8793533759340787,0.7419100577002228,2791.1237392860003,3214.0572649419864,4042.217376997489
